sample,label,n_windows_before,n_windows_after,mal_windows_before,mal_windows_after,flipped_1_to_0
100,1,52,52,0,52,0
101,1,52,52,0,52,0
102,1,52,52,0,52,0
103,1,52,52,0,52,0
104,1,52,52,1,52,0
105,1,52,52,0,52,0
106,1,52,52,1,52,0
107,1,52,52,0,52,0
108,1,52,52,0,52,0
109,1,52,52,0,52,0
110,1,52,52,0,52,0
111,1,52,52,0,52,0
112,1,52,52,3,52,0
113,1,52,52,0,52,0
114,1,52,52,0,52,0
115,1,52,52,0,52,0
116,1,52,52,0,52,0
117,1,52,52,0,52,0
118,1,52,52,0,52,0
119,1,52,52,0,52,0
120,1,52,52,1,52,0
121,1,52,52,0,52,0
122,1,52,52,1,52,0
123,1,52,52,0,52,0
124,1,52,52,0,52,0
125,1,52,52,0,52,0
126,1,52,52,0,52,0
127,1,52,52,0,52,0
128,1,52,52,0,52,0
129,1,52,52,0,52,0
130,1,52,52,0,52,0
131,1,52,52,0,52,0
132,1,52,52,0,52,0
133,1,52,52,0,52,0
134,1,52,52,0,52,0
135,1,52,52,0,52,0
136,1,52,52,0,52,0
137,1,52,52,0,52,0
138,1,52,52,0,52,0
139,1,52,52,0,52,0
140,1,52,52,1,52,0
141,1,52,52,0,52,0
142,1,52,52,0,52,0
143,1,52,52,0,52,0
144,1,52,52,0,52,0
145,1,52,52,1,52,0
146,1,52,52,0,52,0
147,1,52,52,0,52,0
148,1,52,52,0,52,0
149,1,52,52,0,52,0
150,1,52,52,0,52,0
151,1,52,52,1,52,0
152,1,52,52,0,52,0
153,1,52,52,0,52,0
154,1,52,52,0,52,0
155,1,52,52,0,52,0
156,1,52,52,0,52,0
157,1,52,52,0,52,0
158,1,52,52,0,52,0
159,1,52,52,0,52,0
160,1,52,52,0,52,0
161,1,52,52,0,52,0
162,1,52,52,0,52,0
163,1,52,52,0,52,0
164,1,52,52,0,52,0
165,1,52,52,0,52,0
166,1,52,52,0,52,0
167,1,52,52,0,52,0
168,1,52,52,0,52,0
169,1,52,52,0,52,0
170,1,52,52,0,52,0
171,1,52,52,0,52,0
172,1,52,52,0,52,0
173,1,52,52,0,52,0
174,1,52,52,0,52,0
175,1,52,52,0,52,0
176,1,52,52,0,52,0
177,1,52,52,0,52,0
178,1,52,52,1,52,0
179,1,52,52,0,52,0
180,1,52,52,0,52,0
181,1,52,52,0,52,0
182,1,52,52,0,52,0
183,1,52,52,0,52,0
184,1,52,52,0,52,0
185,1,52,52,0,52,0
186,1,52,52,0,52,0
187,1,52,52,0,52,0
188,1,52,52,0,52,0
189,1,52,52,0,52,0
190,1,52,52,0,52,0
191,1,52,52,0,52,0
192,1,52,52,0,52,0
193,1,52,52,0,52,0
194,1,52,52,0,52,0
195,1,52,52,0,52,0
196,1,52,52,0,52,0
197,1,52,52,0,52,0
198,1,52,52,0,52,0
199,1,52,52,0,52,0
